ID,Date,Furnace,Difference Phase 1 (Real - Target),Difference Phase 2,Difference Phase 3,Difference Phase 4,Difference Phase 5,Delay Time,Dureza,Dureza PC
10793,21/06/24,2,419,-79,-43,-61,38,81,3,3
10794,21/06/24,2,504,118,183,0,-22,35,3,3
10795,21/06/24,1,69,290,93,42,27,30,3,3
10796,21/06/24,1,488,5,-100,-57,-55,109,3,3
10797,21/06/24,1,372,451,-163,49,-25,99,3,3
10798,21/06/24,2,342,233,48,-111,-26,91,3,3
10799,21/06/24,2,611,-218,-35,18,44,115,3,3
10800,21/06/24,2,71,340,104,-52,-53,46,3,3
10801,20/06/24,1,491,483,41,-44,-25,61,3,3
10802,20/06/24,2,459,461,-2,0,-42,79,3,3
10803,20/06/24,2,555,125,207,-3,-53,19,2,3
10804,20/06/24,2,543,154,-81,-47,7,53,2,3
10805,20/06/24,2,183,-200,137,47,-5,83,2,3
10806,20/06/24,1,310,399,-126,44,-4,47,2,3
10807,20/06/24,1,481,313,-148,17,29,9,2,3
10808,20/06/24,2,-124,99,62,-116,17,27,2,2
10809,20/06/24,2,150,345,220,-115,-41,105,2,2
10810,20/06/24,2,284,168,-48,-17,-35,27,2,3
10811,20/06/24,2,38,23,-176,-8,13,117,2,2
10812,20/06/24,2,481,-223,230,-73,19,77,0,2
10813,20/06/24,1,470,103,135,49,42,64,0,3
10814,20/06/24,1,436,57,168,10,-48,51,0,3
10815,20/06/24,1,56,288,85,-127,-53,63,1,3
10816,20/06/24,2,-89,58,186,-60,43,25,1,3
10817,20/06/24,1,75,451,185,52,14,72,1,2
10818,20/06/24,1,572,260,-160,-88,-3,22,1,3
10819,20/06/24,1,-80,487,207,-42,-17,107,1,2
10820,20/06/24,1,18,332,1,-78,-25,52,1,3
10821,20/06/24,2,298,22,-183,3,-14,105,1,2
10822,20/06/24,1,373,161,98,-112,24,33,1,3
10823,20/06/24,2,207,73,-91,-89,39,26,1,3
10824,20/06/24,1,554,-26,-60,26,-43,6,1,3
10825,20/06/24,1,-102,-100,62,-45,18,90,1,3
10826,20/06/24,1,427,428,220,-70,-45,41,1,3
10827,20/06/24,2,325,283,157,-91,-18,30,1,3
10828,20/06/24,1,-104,170,112,-82,0,42,2,3
10829,20/06/24,2,278,-189,-235,-11,-37,116,2,3
10830,20/06/24,2,249,14,145,-16,32,44,2,3
10831,20/06/24,1,477,95,112,50,-1,54,2,3
10832,20/06/24,2,601,477,-33,-112,-55,42,2,3
10833,20/06/24,1,62,-37,-10,-100,-14,22,2,3
10834,20/06/24,1,206,-51,199,-114,39,114,2,2
10835,20/06/24,2,123,429,-191,30,43,92,2,3
10836,20/06/24,2,-141,252,-130,32,-14,116,1,2
10837,20/06/24,1,-69,-64,111,-47,42,98,1,0
10838,20/06/24,2,391,-8,-204,-60,14,16,1,0
10839,20/06/24,2,534,191,-42,-61,36,47,1,0
10840,20/06/24,1,-85,236,107,16,16,114,1,0
10841,20/06/24,2,15,384,-40,-52,26,119,1,0
10842,20/06/24,2,370,215,180,37,-15,92,1,0
10843,20/06/24,2,504,-219,-248,-118,34,110,1,0
10844,20/06/24,2,439,-2,-243,-109,-21,33,1,0
10845,20/06/24,2,-148,-232,146,-111,-34,14,1,0
10846,20/06/24,1,-128,-226,129,-99,8,17,1,0
10847,20/06/24,2,604,5,-120,23,13,46,1,1
10848,20/06/24,1,-132,259,107,-74,-27,26,2,1
10849,20/06/24,2,576,116,226,-24,-36,28,2,1
10850,20/06/24,1,440,-41,-36,-50,16,14,1,1
10851,20/06/24,1,145,163,-168,38,-25,99,0,1
10852,20/06/24,1,57,275,200,51,-47,92,3,1
10853,20/06/24,1,531,376,199,-94,-15,43,3,1
10854,20/06/24,2,597,344,-61,-6,-34,63,1,1
10855,20/06/24,2,-109,324,-149,-30,-48,48,1,3
10856,20/06/24,2,-19,20,-233,-125,2,44,1,2
10857,20/06/24,2,583,-38,8,-10,20,83,1,2
10858,20/06/24,2,-53,319,34,21,-16,61,1,2
10859,20/06/24,1,461,9,44,-51,35,75,1,2
10860,20/06/24,2,429,176,129,-59,-24,11,1,2
10861,20/06/24,1,-110,46,-41,-59,42,8,1,2
10862,20/06/24,1,392,159,-228,-49,3,36,1,2
10863,20/06/24,2,510,185,139,-40,19,26,1,2
10864,20/06/24,1,-92,24,-214,-16,25,68,1,2
10865,20/06/24,1,451,177,34,-62,21,18,1,2
10866,20/06/24,2,543,480,-143,-115,10,44,1,2
10867,20/06/24,2,464,178,-221,-2,27,111,1,2
10868,20/06/24,2,75,285,-55,-19,1,62,1,2
10869,20/06/24,2,-77,432,208,8,-29,45,1,2
10870,20/06/24,2,46,243,32,-14,-10,56,1,2
10871,20/06/24,1,407,333,217,44,-22,104,1,1
10872,20/06/24,1,333,-29,-178,-19,-18,60,1,1
10873,20/06/24,1,475,-163,11,45,-53,52,1,1
10874,20/06/24,2,375,-144,-156,-67,-39,15,1,1
10875,20/06/24,1,491,-183,189,33,-26,102,1,1
10876,20/06/24,1,-104,340,-221,-60,20,75,1,1
10877,20/06/24,2,142,127,-162,-92,41,117,1,1
10878,20/06/24,1,613,435,229,-58,25,49,1,1
10879,20/06/24,2,289,269,-145,-9,0,87,1,1
10880,20/06/24,2,115,113,-123,38,-40,7,1,1
10881,20/06/24,1,582,-170,183,41,23,112,1,1
10882,20/06/24,1,592,138,-54,-104,-41,110,1,1
10883,20/06/24,2,69,-14,191,-63,36,59,1,1
10884,20/06/24,2,542,-83,44,34,-29,88,1,1
10885,20/06/24,1,326,141,73,30,-5,99,1,0
10886,20/06/24,1,251,402,-113,-46,1,102,1,0
10887,20/06/24,1,462,32,-55,-117,13,35,3,1
10888,20/06/24,1,155,119,-215,-23,4,62,3,1
10889,20/06/24,2,103,194,-118,-61,-15,55,3,1
10890,20/06/24,2,542,-48,169,-54,17,113,3,1
10891,20/06/24,2,52,170,-136,52,-46,77,3,1
10892,20/06/24,2,373,306,-27,-123,-41,33,3,1
10893,20/06/24,1,176,162,-91,-10,30,101,3,1
10894,20/06/24,2,554,-186,-123,11,16,48,3,1
10895,20/06/24,1,46,-73,79,-73,-50,92,3,1
10896,20/06/24,1,-44,-178,-250,53,-8,16,3,1
10897,20/06/24,2,474,303,201,47,-32,68,3,1
10898,20/06/24,2,119,253,-129,-19,-36,15,3,1
10899,20/06/24,2,586,69,-32,-102,30,92,0,1
10900,20/06/24,2,-117,-18,177,-123,-7,59,1,1
10901,20/06/24,1,578,319,-11,-126,-16,103,2,3
10902,20/06/24,1,457,44,184,2,-41,27,2,3
10903,20/06/24,1,367,176,-70,11,-50,25,1,3
10904,20/06/24,2,241,100,-158,-89,44,1,0,3
10905,20/06/24,1,-119,104,-245,-23,36,101,0,3
10906,20/06/24,2,278,271,-198,-129,-46,56,2,0
10907,20/06/24,2,228,57,101,-118,-15,15,2,3
10908,20/06/24,2,-85,299,-21,-65,33,18,0,3
10909,20/06/24,1,341,14,210,15,19,63,1,3
10910,20/06/24,1,501,73,-218,-69,0,76,1,3
10911,20/06/24,2,407,1,-19,43,25,44,2,3
10912,20/06/24,2,330,357,4,-85,7,77,2,3
10913,20/06/24,2,173,192,151,-93,-43,94,2,3
10914,20/06/24,2,407,-132,189,-93,22,70,2,3
10915,20/06/24,1,447,417,66,-97,-23,88,2,3
10916,20/06/24,1,247,193,137,-1,-40,97,1,3
10917,20/06/24,1,346,-89,-177,-54,-46,101,1,3
10918,20/06/24,2,67,227,-201,-82,-14,101,1,3
10919,20/06/24,2,393,163,-172,1,23,86,1,3
10920,20/06/24,1,225,-133,137,26,36,94,1,3
10921,20/06/24,2,239,347,-188,-79,-34,61,1,3
10922,20/06/24,1,-144,115,110,-20,-48,59,1,3
10923,20/06/24,1,500,-119,4,-17,23,4,1,3
10924,20/06/24,1,105,-3,-123,-4,18,86,2,3
10925,20/06/24,2,303,-53,-87,-129,-23,92,2,3
10926,20/06/24,2,586,230,67,34,-44,3,2,3
10927,20/06/24,2,-21,-227,172,20,-19,16,2,3
10928,20/06/24,2,-91,282,9,-14,30,92,2,3
10929,20/06/24,2,552,383,-170,-89,-51,103,2,0
10930,20/06/24,1,116,353,143,-97,12,87,2,3
10931,20/06/24,2,133,442,-34,12,-4,52,1,0
10932,20/06/24,1,-60,438,203,39,-25,46,1,0
10933,20/06/24,1,112,-48,-250,-120,-50,4,1,0
10934,20/06/24,2,293,109,-9,-95,1,77,1,0
10935,20/06/24,2,-134,464,55,-65,37,62,1,0
10936,20/06/24,1,542,405,68,-50,-37,113,1,0
10937,20/06/24,2,170,-227,51,-38,-38,1,1,0
10938,20/06/24,1,413,126,84,22,-18,12,1,0
10939,20/06/24,2,526,-23,-144,11,4,5,1,0
10940,20/06/24,1,578,455,-87,48,14,69,2,0
10941,20/06/24,1,-134,314,158,20,-18,1,2,0
10942,20/06/24,2,-126,-132,-2,-103,-50,80,3,0
10943,20/06/24,2,-41,223,-42,18,37,54,1,0
10944,20/06/24,2,169,133,23,40,-45,59,1,0
10945,20/06/24,1,240,261,-8,-125,15,92,1,0
10946,20/06/24,1,240,193,-155,-98,-5,66,3,0
10947,20/06/24,1,384,386,158,-106,30,114,3,0
10948,20/06/24,1,482,-5,24,-83,32,51,3,0
10949,20/06/24,1,84,-206,106,-125,2,119,3,0
10950,20/06/24,1,441,-153,84,-34,-38,14,3,0
10951,20/06/24,2,174,-79,49,-30,-41,72,2,1
10952,20/06/24,2,450,462,-107,41,1,34,2,1
10953,20/06/24,1,-97,278,175,44,22,11,3,2
10954,20/06/24,1,245,-180,51,-110,-8,33,3,1
10955,20/06/24,1,330,26,205,6,24,117,3,2
10956,20/06/24,2,467,6,-117,-85,-20,54,3,2
10957,20/06/24,2,321,253,-141,54,-53,14,3,2
10958,20/06/24,2,563,-12,-156,-99,25,52,2,2
10959,20/06/24,2,-27,339,2,-19,-14,111,2,2
10960,20/06/24,1,590,477,89,-3,14,54,2,2
10961,20/06/24,2,399,195,-113,6,-52,72,2,2
10962,20/06/24,1,566,351,-51,8,-30,66,2,2
10963,20/06/24,1,526,396,55,41,43,84,2,2
10964,20/06/24,1,421,-142,-240,-88,-9,67,1,2
10965,20/06/24,1,404,289,-21,27,39,99,1,2
10966,20/06/24,2,-82,33,36,16,29,68,3,2
10967,20/06/24,2,566,359,115,-64,32,64,3,2
10968,20/06/24,1,152,148,103,-24,19,101,3,2
10969,19/06/24,2,386,-29,-182,42,-38,1,1,1
10970,19/06/24,2,435,-1,-91,-124,9,113,1,1
10971,19/06/24,2,534,473,-244,17,-13,69,1,1
10972,19/06/24,1,10,-192,151,-85,4,28,1,1
10973,19/06/24,2,232,401,-82,-7,-26,64,1,1
10974,19/06/24,1,-37,-210,-183,9,17,89,1,1
10975,19/06/24,2,-47,137,159,-17,36,93,1,1
10976,19/06/24,2,-143,69,-142,-20,-48,19,1,1
10977,19/06/24,1,436,77,127,-20,0,24,1,1
10978,19/06/24,2,-55,129,-49,12,-10,92,1,1
10979,19/06/24,1,-103,485,231,54,17,21,1,1
10980,19/06/24,1,318,221,-237,-83,-33,80,1,1
10981,18/06/24,2,253,468,-20,-88,-38,21,1,0
10982,18/06/24,2,133,221,206,50,7,4,1,3
10983,18/06/24,2,54,-152,-255,-87,11,63,1,3
10984,18/06/24,2,376,-164,165,-79,-50,72,1,3
10985,18/06/24,2,124,-136,163,-109,-28,34,1,0
10986,18/06/24,2,115,366,-224,54,-48,33,1,3
10987,18/06/24,1,-55,-73,198,-34,24,13,1,0
10988,18/06/24,1,193,252,-52,-38,-42,114,3,3
10989,18/06/24,1,572,-95,-224,-43,-54,6,3,0
10990,18/06/24,2,23,450,30,-69,32,51,2,3
10991,18/06/24,1,342,126,-135,-71,-13,44,0,3
10992,18/06/24,2,-104,-46,-207,-28,-31,104,0,3
10993,18/06/24,1,73,269,-226,54,-21,114,1,3
10994,18/06/24,1,213,397,-9,-67,7,73,2,2
10995,18/06/24,2,556,451,113,-62,40,87,2,2
10996,18/06/24,2,438,155,118,-84,39,101,2,2
10997,18/06/24,2,16,-102,226,24,-43,51,2,2
10998,18/06/24,1,135,-76,104,-86,-28,75,2,2
10999,18/06/24,1,528,-120,-74,-43,-25,17,2,2
11000,18/06/24,2,425,115,-190,-28,1,89,1,2
11001,18/06/24,1,585,-59,88,-48,-47,32,1,2
11002,18/06/24,2,272,-187,-238,-55,-25,80,1,2
11003,18/06/24,2,132,-144,72,-17,-27,41,1,2
11004,18/06/24,2,118,445,47,-80,31,118,2,2
11005,18/06/24,1,-39,293,-178,51,2,86,1,2
11006,18/06/24,1,336,87,-251,-15,-38,45,1,2
11007,18/06/24,1,242,382,-25,-117,6,63,1,2
11008,18/06/24,2,247,242,-222,9,31,65,1,2
11009,18/06/24,1,493,303,-66,-35,19,117,1,2
11010,18/06/24,2,26,26,84,-59,-3,55,1,2
11011,18/06/24,2,351,432,140,38,-37,91,1,2
11012,18/06/24,2,-77,62,-145,-53,-32,68,1,2
11013,18/06/24,2,427,139,-47,-68,-26,109,1,3
11014,18/06/24,2,377,243,-11,-26,27,11,1,3
11015,18/06/24,1,253,130,159,-20,-2,21,1,3
11016,18/06/24,2,-87,246,148,15,1,114,2,3
11017,18/06/24,2,144,-135,-184,-66,0,28,2,3
11018,18/06/24,1,428,305,19,53,-3,20,2,3
11019,18/06/24,2,-76,305,203,-69,-9,57,2,3
11020,18/06/24,1,459,128,-15,23,-27,118,2,3
11021,18/06/24,2,79,378,184,3,-29,73,2,3
11022,18/06/24,2,295,252,-165,8,27,62,2,3
11023,18/06/24,1,-66,123,-164,-90,43,31,1,3
11024,18/06/24,1,-115,153,96,-65,-50,66,1,3
11025,18/06/24,2,32,488,-85,-112,25,1,1,3
11026,18/06/24,1,-14,-231,12,-1,28,30,1,3
11027,18/06/24,2,253,-234,198,-12,42,57,1,2
11028,18/06/24,2,112,104,13,-16,-52,12,1,2
11029,18/06/24,1,208,448,-209,-42,-54,68,1,2
11030,18/06/24,1,319,403,-75,-84,-54,88,1,2
11031,18/06/24,1,103,293,-2,34,37,106,1,2
11032,18/06/24,2,428,-50,0,-89,-44,3,1,2
11033,18/06/24,1,-69,213,98,-105,14,76,1,2
11034,18/06/24,2,392,186,49,-81,-38,6,1,2
11035,18/06/24,1,340,236,122,-4,-17,6,1,2
11036,18/06/24,2,32,374,7,-121,39,114,2,2
11037,18/06/24,2,28,-7,-170,-7,-33,104,2,2
11038,18/06/24,2,353,220,127,16,31,38,2,2
11039,18/06/24,1,-68,429,114,-65,18,60,2,3
11040,18/06/24,1,216,-140,79,11,39,117,2,3
11041,18/06/24,2,595,334,-98,-9,-11,15,0,3
11042,18/06/24,2,66,297,34,-3,-44,85,2,3
11043,18/06/24,1,459,362,91,-74,13,68,2,3
11044,18/06/24,1,467,276,182,-50,-33,73,2,3
11045,18/06/24,1,149,433,192,20,32,53,2,1
11046,18/06/24,1,306,-4,-59,-54,5,66,0,2
11047,18/06/24,2,146,456,227,52,-49,63,2,1
11048,18/06/24,2,402,373,-46,8,-42,54,3,2
11049,18/06/24,2,252,209,29,-119,-8,7,2,2
11050,18/06/24,1,150,34,-155,31,-29,71,2,2
11051,18/06/24,1,321,379,51,-65,0,56,2,2
11052,18/06/24,2,305,-113,186,-48,-6,108,2,2
11053,18/06/24,2,484,-133,-116,-63,-18,106,3,2
11054,18/06/24,1,157,-140,-223,-60,-55,88,3,2
11055,18/06/24,2,554,363,100,34,5,33,3,2
11056,18/06/24,2,225,157,-2,-89,33,2,3,2
11057,18/06/24,2,106,377,137,-7,-37,64,3,2
11058,18/06/24,1,386,176,-210,-104,-4,3,3,2
11059,18/06/24,1,400,212,-216,-50,-48,116,3,2
11060,18/06/24,1,324,321,-53,-18,6,25,3,2
11061,18/06/24,1,146,161,57,-57,-34,48,2,2
11062,18/06/24,2,576,208,-240,-74,-16,2,0,2
11063,18/06/24,2,74,153,-32,-22,-14,15,1,2
11064,18/06/24,2,7,14,203,-55,24,92,1,2
11065,18/06/24,2,-140,322,-98,-80,2,11,1,1
11066,18/06/24,2,-65,173,158,-60,-33,38,1,2
11067,18/06/24,1,517,-173,-189,43,-30,43,2,1
11068,18/06/24,2,-22,214,202,-69,11,36,2,2
11069,18/06/24,2,127,-199,200,-37,-50,9,2,2
11070,18/06/24,1,569,-126,134,27,9,9,2,2
11071,18/06/24,2,-48,-26,-69,-58,36,98,2,3
11072,18/06/24,1,378,36,169,-78,12,116,2,2
11073,18/06/24,1,-145,25,-33,28,44,41,2,2
11074,18/06/24,1,461,227,-29,-69,5,38,2,2
11075,18/06/24,1,189,389,-74,-121,10,104,2,2
11076,18/06/24,2,213,102,204,30,-16,84,2,2
11077,18/06/24,2,205,254,221,-123,-19,99,2,2
11078,18/06/24,1,326,15,153,-79,-48,43,2,2
11079,18/06/24,1,476,70,91,37,-4,9,2,2
11080,18/06/24,1,405,481,134,-117,-8,109,2,2
11081,18/06/24,1,-115,170,230,0,39,29,2,2
11082,18/06/24,2,141,-128,40,22,11,68,2,2
11083,18/06/24,1,72,-194,2,-32,38,4,1,2
11084,18/06/24,1,437,118,51,-23,22,60,1,2
11085,18/06/24,1,569,340,121,-47,-13,24,2,2
11086,18/06/24,2,482,65,76,0,-45,25,2,2
11087,18/06/24,2,603,402,-92,-112,-28,67,3,2
11088,18/06/24,2,-62,54,55,7,44,100,2,2
11089,18/06/24,1,118,438,198,7,26,71,1,2
11090,18/06/24,2,300,-138,124,-3,21,30,2,3
11091,18/06/24,2,60,249,141,29,-48,81,2,3
11092,18/06/24,2,495,275,129,-68,20,91,3,3
11093,18/06/24,1,-110,81,-255,-124,26,3,2,3
11094,18/06/24,1,615,-192,45,-103,31,32,2,3
11095,18/06/24,1,-52,0,144,19,-11,39,2,3
11096,18/06/24,2,229,-219,156,-68,20,74,3,3
11097,18/06/24,2,451,450,-146,-117,-19,108,3,3
11098,18/06/24,2,315,362,-13,-36,-55,36,3,3
11099,18/06/24,1,468,-86,-93,47,-25,61,3,3
11100,18/06/24,2,200,140,-27,35,-21,73,3,3
11101,18/06/24,2,63,295,-95,-21,11,16,3,3
11102,18/06/24,1,200,-12,-148,-70,-17,76,3,0
11103,18/06/24,2,362,261,-253,-37,2,96,3,0
11104,18/06/24,2,32,404,-57,-102,-53,41,2,1
11105,18/06/24,2,490,-224,217,27,-20,3,2,2
11106,18/06/24,2,566,-206,25,-77,12,41,2,2
11107,18/06/24,2,-100,-69,-244,-119,33,45,1,2
11108,18/06/24,2,554,466,155,-67,-10,77,2,2
11109,18/06/24,1,108,-30,-17,-30,-28,5,2,2
11110,18/06/24,1,61,347,-4,-59,-39,99,1,2
11111,18/06/24,1,140,185,217,-61,0,60,1,2
11112,18/06/24,2,413,252,-18,-106,-6,109,1,2
11113,18/06/24,2,-127,418,-136,-32,-23,27,1,2
11114,18/06/24,2,15,385,173,-100,-41,62,1,2
11115,18/06/24,1,16,405,103,38,40,110,1,2
11116,18/06/24,1,243,67,-220,36,7,108,1,2
11117,18/06/24,1,348,203,-98,-46,-40,36,2,2
11118,18/06/24,2,-145,254,-106,-24,-54,84,0,2
11119,18/06/24,2,264,153,227,-73,4,8,2,2
11120,18/06/24,2,76,-195,-86,-116,-19,87,2,3
11121,18/06/24,1,346,472,-27,-86,20,27,2,3
11122,18/06/24,2,-116,-74,-208,-72,-8,29,2,2
11123,18/06/24,1,418,112,-27,-67,0,54,1,2
11124,18/06/24,2,-84,204,-4,-19,3,49,1,2
11125,18/06/24,2,476,-63,30,-50,-34,20,1,2
11126,18/06/24,1,80,55,-44,-126,35,76,1,2
11127,18/06/24,1,556,148,-189,-19,13,65,1,2
11128,18/06/24,2,526,-200,-191,-59,3,54,1,2
11129,18/06/24,1,83,-43,-212,-57,-25,91,1,2
11130,18/06/24,2,495,206,112,-119,6,39,1,2
11131,18/06/24,1,506,69,111,-24,36,119,1,2
11132,18/06/24,1,561,-20,-40,30,22,24,1,2
11133,18/06/24,1,78,-53,9,-22,2,8,1,2
11134,18/06/24,1,476,-189,-100,-15,-8,48,1,2
11135,18/06/24,1,16,402,96,27,1,51,1,2
11136,18/06/24,1,219,141,172,-49,-20,118,1,2
11137,18/06/24,2,371,10,179,26,-40,56,1,2
11138,18/06/24,2,61,367,-69,-122,33,6,1,2
11139,18/06/24,1,20,-17,28,-88,-48,49,1,3
11140,18/06/24,2,125,-77,-234,-100,-19,105,1,3
11141,18/06/24,2,557,413,-212,25,14,52,1,3
11142,18/06/24,1,315,-143,89,-35,-23,15,1,3
11143,18/06/24,1,-10,-195,-163,9,-13,91,1,3
11144,18/06/24,1,542,442,-157,-28,18,103,1,3
11145,18/06/24,2,362,-17,31,40,30,47,1,3
11146,18/06/24,2,310,146,188,-70,-37,45,1,3
11147,18/06/24,1,-103,119,177,-94,0,45,1,3
11148,18/06/24,1,292,-161,-74,-60,39,116,1,3
11149,18/06/24,2,243,392,-72,-73,-35,8,1,3
11150,18/06/24,2,156,-167,-223,29,-51,108,1,2
11151,18/06/24,2,501,366,87,-36,32,34,1,3
11152,18/06/24,2,316,466,-21,-122,-15,115,1,2
11153,18/06/24,1,298,-49,27,-110,-11,89,2,2
11154,18/06/24,2,501,-16,-211,18,9,102,2,2
11155,18/06/24,2,63,-118,-50,-57,-26,69,2,2
11156,18/06/24,1,-56,208,-16,-88,44,92,2,1
11157,18/06/24,1,108,357,2,-11,-3,114,2,2
11158,18/06/24,2,108,346,-62,-17,-54,88,2,2
11159,18/06/24,1,-141,102,56,24,6,87,1,1
11160,18/06/24,2,-45,149,-22,-16,-35,31,1,2
11161,18/06/24,1,-87,328,138,-62,38,34,1,1
11162,18/06/24,1,284,-185,-100,8,21,91,1,2
11163,18/06/24,2,-31,-199,15,-90,29,103,1,1
11164,18/06/24,1,274,323,-212,-8,-37,80,1,0
11165,18/06/24,1,218,-183,96,-105,-48,67,2,2
11166,18/06/24,1,479,206,94,2,-27,65,2,2
11167,18/06/24,1,500,33,71,0,-1,89,2,2
11168,18/06/24,2,394,102,-5,33,-30,49,2,2
11169,18/06/24,1,424,309,20,3,7,60,2,2
11170,18/06/24,1,64,474,-128,47,36,4,2,1
11171,18/06/24,1,404,75,38,-34,-1,62,2,1
11172,18/06/24,1,327,125,-92,6,-18,49,3,2
11173,18/06/24,2,563,164,-79,-48,-6,14,3,2
11174,18/06/24,1,-138,-164,-215,41,-13,69,3,2
11175,18/06/24,2,-39,463,-15,-43,5,47,3,2
11176,18/06/24,2,-128,222,151,50,-39,89,3,2
11177,18/06/24,2,-3,-208,66,12,-40,30,3,2
11178,18/06/24,1,536,-1,-37,-31,12,54,3,2
11179,18/06/24,1,395,336,-14,-56,-3,59,3,2
11180,18/06/24,1,526,3,53,21,38,118,3,2
11181,18/06/24,2,54,81,140,22,12,95,3,2
11182,18/06/24,2,484,427,-155,-29,33,22,3,2
11183,18/06/24,2,178,242,132,-21,-23,82,3,2
11184,18/06/24,2,-7,138,-116,15,6,56,3,2
11185,18/06/24,1,580,476,79,9,-27,65,2,2
11186,18/06/24,2,-89,191,-217,40,23,100,2,2
11187,18/06/24,1,127,121,-100,-12,-26,67,2,2
11188,18/06/24,1,360,-57,-6,-29,-39,43,3,2
11189,18/06/24,2,271,-149,73,2,-9,22,3,2
11190,18/06/24,1,3,-50,-117,-32,-38,74,3,2
11191,18/06/24,1,60,475,-173,-98,-9,6,0,1
11192,18/06/24,1,492,114,-209,-28,-19,13,0,1
11193,18/06/24,1,-50,195,101,-43,-8,60,0,2
11194,18/06/24,1,554,110,137,-28,-39,113,2,2
11195,18/06/24,1,-91,374,220,-42,9,40,2,2
11196,18/06/24,2,-142,377,53,-14,1,116,2,2
11197,18/06/24,2,32,-35,-203,-57,-54,117,1,2
11198,18/06/24,2,-9,331,15,27,-42,72,1,2
11199,18/06/24,1,218,-19,-217,1,36,18,1,2
11200,18/06/24,2,-2,371,8,-70,16,18,1,3
11201,18/06/24,1,424,-28,7,-122,17,59,1,3
11202,18/06/24,2,-133,35,110,22,-26,2,1,3
11203,18/06/24,2,522,255,69,-118,-33,88,1,3
11204,18/06/24,2,178,45,-116,-76,-4,45,1,3
11205,18/06/24,2,252,32,-205,24,-3,55,1,3
11206,18/06/24,2,140,-233,224,47,-9,18,1,3
11207,18/06/24,2,239,-174,-73,-12,-33,19,1,3
11208,18/06/24,1,262,-91,16,-46,-34,41,1,3
11209,18/06/24,1,202,-164,-124,-103,25,58,3,2
11210,18/06/24,1,336,-132,-201,-48,-22,51,0,3
11211,18/06/24,2,604,367,-198,8,-2,31,2,2
11212,18/06/24,1,-38,354,-217,-35,-13,62,3,2
11213,18/06/24,1,-126,132,-102,-79,-37,23,2,2
11214,18/06/24,2,2,103,52,-5,31,115,2,2
11215,18/06/24,1,-122,154,129,-109,18,74,2,2
11216,18/06/24,1,584,295,91,-85,0,119,2,2
11217,18/06/24,1,277,350,210,-105,-22,43,3,2
11218,18/06/24,2,558,362,-30,-112,34,33,0,2
11219,18/06/24,2,163,194,86,-97,-7,72,2,2
11220,18/06/24,1,40,317,-22,5,-33,6,2,2
11221,18/06/24,2,-10,177,-92,-65,11,86,2,2
11222,18/06/24,2,469,-174,169,-58,-5,98,2,2
11223,18/06/24,2,-137,1,136,-22,-14,90,3,2
11224,18/06/24,1,245,379,45,-105,-51,4,3,1
11225,18/06/24,1,80,-129,171,35,33,40,3,2
11226,18/06/24,2,337,347,38,-93,44,13,3,1
11227,18/06/24,1,-134,-162,-169,29,-24,72,3,1
11228,18/06/24,1,42,-77,13,-31,-24,18,3,2
11229,18/06/24,1,445,410,-240,-73,-6,82,3,1
11230,18/06/24,1,-69,103,-38,-83,-17,97,2,2
11231,18/06/24,1,522,448,228,-100,-23,52,3,2
11232,18/06/24,2,138,177,-212,-60,-19,4,3,1
11233,18/06/24,1,336,310,29,-92,13,40,3,2
11234,18/06/24,2,-17,22,-46,-123,-55,73,3,2
11235,18/06/24,1,391,77,73,-21,31,104,2,2
11236,18/06/24,1,202,272,-93,-122,-2,7,3,2
11237,18/06/24,1,134,5,86,-64,-31,21,3,2
11238,18/06/24,1,-130,-211,-217,-42,19,64,0,2
11239,18/06/24,2,398,53,-26,37,-32,109,0,2
11240,18/06/24,2,7,25,40,-25,20,12,0,2
11241,18/06/24,1,368,102,-133,32,35,99,0,2
11242,18/06/24,1,362,280,-151,-113,29,63,0,2
11243,18/06/24,1,217,343,13,-54,24,116,0,2
11244,18/06/24,1,470,-20,185,3,38,7,0,2
11245,18/06/24,2,401,-195,63,-92,-39,21,2,2
11246,18/06/24,2,466,423,-229,45,10,14,2,2
11247,18/06/24,2,15,9,-132,36,-46,31,1,2
11248,18/06/24,2,-135,-140,123,3,-43,103,1,2
11249,18/06/24,1,190,154,49,12,-23,8,1,3
11250,17/06/24,2,329,-213,-201,-40,40,7,1,3
11251,17/06/24,1,545,417,-82,-42,-17,98,3,2
11252,17/06/24,1,547,416,43,-92,2,83,3,2
11253,17/06/24,1,-41,-171,-10,4,23,36,3,2
11254,17/06/24,2,515,185,-84,-60,34,117,3,2
11255,17/06/24,2,612,73,-81,-101,-43,36,3,2
11256,17/06/24,1,337,145,-95,-103,-35,56,3,2
11257,17/06/24,1,310,-233,60,19,-22,102,3,3
11258,17/06/24,2,71,-85,-87,-28,-16,37,2,3
11259,17/06/24,1,587,102,25,-50,11,11,3,3
11260,17/06/24,1,1,-117,-255,33,-11,72,3,3
11261,17/06/24,1,248,30,82,-129,40,103,1,3
11262,17/06/24,1,548,-75,-173,-112,-6,50,1,1
11263,17/06/24,2,107,125,174,-24,33,35,1,2
11264,17/06/24,2,312,128,-10,-101,-10,50,1,2
11265,17/06/24,1,573,477,111,29,-43,31,1,3
11266,17/06/24,1,411,368,9,35,-17,53,1,3
11267,17/06/24,2,-22,22,-225,-19,19,14,1,3
11268,17/06/24,1,-6,276,-34,22,-6,12,1,3
